x,y
4.589701175689697266e+00,-1.272840261459350586e+00
9.334757804870605469e+00,-4.794749736785888672e+00
8.798383712768554688e+00,-1.886334657669067383e+00
8.832401275634765625e+00,-1.831287980079650879e+00
1.225937938690185547e+01,-1.791616201400756836e+00
1.177559566497802734e+01,-1.873629450798034668e+00
6.335400581359863281e+00,-4.423591136932373047e+00
8.423177719116210938e+00,-4.087269306182861328e+00
5.748967170715332031e+00,-2.631922960281372070e+00
1.190540218353271484e+01,-1.980110526084899902e+00
7.171243667602539062e+00,-2.250869274139404297e+00
7.576095104217529297e+00,-2.262124776840209961e+00
7.163950443267822266e+00,-1.966915249824523926e+00
7.136689662933349609e+00,-2.092557668685913086e+00
7.461262702941894531e+00,-2.397394895553588867e+00
7.436093330383300781e+00,-2.159424066543579102e+00
7.378070354461669922e+00,-2.159488201141357422e+00
7.197058200836181641e+00,-2.035478353500366211e+00
7.166645050048828125e+00,-1.970270752906799316e+00
9.233381271362304688e+00,-4.693576335906982422e+00
5.597294330596923828e+00,-2.158414363861083984e+00
9.579319953918457031e+00,-3.303611040115356445e+00
1.219042110443115234e+01,-1.919926285743713379e+00
1.167356872558593750e+01,-1.801322221755981445e+00
9.795732498168945312e+00,-2.551953554153442383e+00
7.231706142425537109e+00,-3.116710662841796875e+00
1.166919040679931641e+01,-2.200410842895507812e+00
1.229082107543945312e+01,-1.515945553779602051e+00
5.864285469055175781e+00,-1.556785941123962402e+00
1.215605163574218750e+01,-1.722081542015075684e+00
1.219104576110839844e+01,-1.396718502044677734e+00
4.594466209411621094e+00,-1.128607630729675293e+00
1.228527545928955078e+01,-1.416601777076721191e+00
5.667392730712890625e+00,-2.696214914321899414e+00
6.564744472503662109e+00,-2.782538414001464844e+00
5.851289272308349609e+00,-2.679318189620971680e+00
5.712789535522460938e+00,-2.715135812759399414e+00
5.703859806060791016e+00,-2.719153642654418945e+00
5.741807460784912109e+00,-2.763698577880859375e+00
5.697715759277343750e+00,-2.660117626190185547e+00
5.710921764373779297e+00,-2.749834060668945312e+00
5.860894680023193359e+00,-2.737561464309692383e+00
5.853766441345214844e+00,-2.739377021789550781e+00
6.014577388763427734e+00,-4.312519550323486328e+00
5.867252349853515625e+00,-5.005031585693359375e+00
5.854572296142578125e+00,-4.592123031616210938e+00
5.857235431671142578e+00,-4.506690025329589844e+00
5.831685543060302734e+00,-4.478020191192626953e+00
6.961933135986328125e+00,-3.381398200988769531e+00
5.881544589996337891e+00,-4.752675533294677734e+00
1.211021423339843750e+01,-1.822075963020324707e+00
1.217647075653076172e+01,-1.329533934593200684e+00
1.197120094299316406e+01,-1.247014045715332031e+00
9.917436599731445312e+00,-4.168028354644775391e+00
9.282445907592773438e+00,-4.761003971099853516e+00
1.209035301208496094e+01,-2.006818294525146484e+00
1.229952335357666016e+01,-1.832428097724914551e+00
9.360401153564453125e+00,-4.672243595123291016e+00
6.981822013854980469e+00,-3.904037714004516602e+00
9.046038627624511719e+00,-4.292923927307128906e+00
8.047147750854492188e+00,4.600782394409179688e+00
7.999361991882324219e+00,-4.109073162078857422e+00
9.064877510070800781e+00,-4.549533843994140625e+00
4.819011688232421875e+00,-1.707201480865478516e+00
4.815790653228759766e+00,-1.544843316078186035e+00
4.879008769989013672e+00,-1.759671688079833984e+00
1.244638633728027344e+01,-1.708597183227539062e+00
1.190433406829833984e+01,-1.937613129615783691e+00
1.187098407745361328e+01,-1.710069298744201660e+00
7.772481918334960938e+00,-2.707582235336303711e+00
9.599477767944335938e+00,-4.478149414062500000e+00
9.930171012878417969e+00,-4.505376338958740234e+00
9.333890914916992188e+00,-4.472056865692138672e+00
9.240967750549316406e+00,-4.800295829772949219e+00
6.010414600372314453e+00,-4.111565113067626953e+00
5.898845672607421875e+00,-4.172738552093505859e+00
7.943602085113525391e+00,-3.988347530364990234e+00
1.026554775238037109e+01,-4.512099266052246094e+00
1.025329303741455078e+01,-4.476009368896484375e+00
4.599132537841796875e+00,-1.972179412841796875e+00
4.492953777313232422e+00,-1.610506057739257812e+00
4.551452159881591797e+00,-1.543979406356811523e+00
4.755113601684570312e+00,-2.015475988388061523e+00
4.592179298400878906e+00,-2.006501674652099609e+00
4.497101783752441406e+00,-2.071441173553466797e+00
4.659918785095214844e+00,-1.976641297340393066e+00
4.521262645721435547e+00,-1.737895250320434570e+00
4.462352752685546875e+00,-1.813163518905639648e+00
4.537478446960449219e+00,-1.566854715347290039e+00
4.554296016693115234e+00,-1.996700525283813477e+00
4.475285530090332031e+00,-1.973370671272277832e+00
4.645024299621582031e+00,-2.018032789230346680e+00
4.578289985656738281e+00,-1.981278181076049805e+00
4.738191127777099609e+00,-1.954429745674133301e+00
4.591417312622070312e+00,-2.002178192138671875e+00
4.460498332977294922e+00,-1.851830363273620605e+00
4.545969486236572266e+00,-1.967016577720642090e+00
4.467064857482910156e+00,-1.851534128189086914e+00
4.560674667358398438e+00,-2.026301622390747070e+00
4.435944557189941406e+00,-1.786259889602661133e+00
4.424896240234375000e+00,-1.872921705245971680e+00
6.841489315032958984e+00,-2.161516189575195312e+00
6.737385272979736328e+00,-2.058072328567504883e+00
9.316807746887207031e+00,-4.747662544250488281e+00
1.067513656616210938e+01,-1.148876905441284180e+00
1.210065746307373047e+01,-1.627478361129760742e+00
9.377088546752929688e+00,-4.314999103546142578e+00
4.590217590332031250e+00,-1.511063575744628906e+00
9.618432044982910156e+00,-3.747994422912597656e+00
7.534359931945800781e+00,-2.564625263214111328e+00
9.976859092712402344e+00,-4.627702713012695312e+00
6.985264778137207031e+00,-1.955496668815612793e+00
7.064723968505859375e+00,-1.887093544006347656e+00
6.081226825714111328e+00,-4.905023574829101562e+00
1.115188407897949219e+01,-1.908870816230773926e+00
1.022112751007080078e+01,-5.369073867797851562e+00
1.018567180633544922e+01,-5.362152576446533203e+00
7.364386081695556641e+00,-2.504465103149414062e+00
7.683556556701660156e+00,-2.188426017761230469e+00
7.808758258819580078e+00,-2.061309814453125000e+00
9.109020233154296875e+00,-4.516402244567871094e+00
5.431331157684326172e+00,-2.305986642837524414e+00
1.021033763885498047e+01,-5.330363273620605469e+00
1.222071647644042969e+01,-1.481755971908569336e+00
1.017410755157470703e+01,-5.319646358489990234e+00
1.174957656860351562e+01,-1.142571210861206055e+00
1.172911453247070312e+01,-1.365316987037658691e+00
1.182923603057861328e+01,-1.170823454856872559e+00
1.152756500244140625e+01,-1.245139598846435547e+00
1.188402271270751953e+01,-2.206677913665771484e+00
9.921386718750000000e+00,-4.756363391876220703e+00
1.016826438903808594e+01,-5.316081047058105469e+00
6.162069797515869141e+00,-4.454764366149902344e+00
5.749355316162109375e+00,-4.595621585845947266e+00
6.487113475799560547e+00,-4.353878974914550781e+00
8.732311248779296875e+00,-4.249922275543212891e+00
6.198372364044189453e+00,-4.812737941741943359e+00
8.931884765625000000e+00,-4.294723033905029297e+00
7.683999061584472656e+00,-3.312295913696289062e+00
9.557036399841308594e+00,-3.189468145370483398e+00
7.923710823059082031e+00,-3.872978687286376953e+00
